"Rank_name","Rank_Post","Rank_Name","Rank_Year","Rank_IMDbRating"
"57 ( 5)","https://m.media-amazon.com/images/M/MV5BZDNhNzhkNDctOTlmOS00NWNmLWEyODQtNWMxM2UzYmJiNGMyXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY67_CR1,0,45,67_AL_.jpg","Breaking Bad","(2008)","9.5"
"58 ( 12)","https://m.media-amazon.com/images/M/MV5BYjI4NjY0NTktZmMwMy00Yzk1LTk5NTgtYTU5MjAzYmY4NmY4XkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg","Chicago P.D.","(2014)","8.1"
"59 ( 1)","https://m.media-amazon.com/images/M/MV5BMGYyZDFjOGMtNDE2Zi00ODg3LWJiZjktMWFiYjUwOTVmNjBkXkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UY67_CR0,0,45,67_AL_.jpg","The Blacklist","(2013)","8.1"
"60 ( 31)","https://m.media-amazon.com/images/M/MV5BNzgzNzg3MDkyOF5BMl5BanBnXkFtZTgwOTk5MjAzNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","BoJack Horseman","(2014)","8.5"
"61 ( 11)","https://m.media-amazon.com/images/M/MV5BODEyODExMjg0NF5BMl5BanBnXkFtZTgwODgxOTY0MzI@._V1_UY67_CR4,0,45,67_AL_.jpg","Gotham","(2014)","7.9"
"62 ( 1)","https://m.media-amazon.com/images/M/MV5BMTU5MjU5NjUyOV5BMl5BanBnXkFtZTgwMDY1ODIyNjM@._V1_UY67_CR4,0,45,67_AL_.jpg","Arrow","(2012)","7.7"
"63 ( 31)","https://m.media-amazon.com/images/M/MV5BMTcyNzk3MzM2OF5BMl5BanBnXkFtZTgwODcwMzYxNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Atypical","(2017)","8.3"
"64 ( 3)","https://m.media-amazon.com/images/M/MV5BMTU1NzM1MzkwMl5BMl5BanBnXkFtZTgwNjUzMTgxNjM@._V1_UY67_CR2,0,45,67_AL_.jpg","The Last Ship","(2014)","7.5"
"65 ( 14)","https://m.media-amazon.com/images/M/MV5BYTNhZGU3YjAtMzg0OC00ZjdlLWIwYzItNzBjYjhkNWFkZWViXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UY67_CR0,0,45,67_AL_.jpg","Riverdale","(2016)","7.6"
"66 ( 7)","https://m.media-amazon.com/images/M/MV5BNjk0ZjEzNGEtOTg5Yy00ZTU3LWE1NTQtNWI4MTJmMTlkMTVhXkEyXkFqcGdeQXVyNDc0NDgwODI@._V1_UX45_CR0,0,45,67_AL_.jpg","The 100","(2014)","7.8"
